01.01.2020 5:54:28,01.01.2020 5:58:41,1,0,6,n,170,137,4,5,0
01.01.2020 5:57:13,01.01.2020 5:58:05,1,0,11,n,260,260,2,5,0
01.01.2020 5:36:31,01.01.2020 5:37:23,3,0,18,n,141,141,3,0
01.01.2020 5:23:15,01.01.2020 5:23:54,2,0,09,n,114,114,2,5,0
01.01.2020 5:13:39,01.01.2020 5:24:26,2,1,26,n,249,90,8,5,0
01.01.2020 5:18:16,01.01.2020 5:18:42,1,0,03,n,164,164,2,5,0
01.01.2020 9:44:29,01.01.2020 9:44:36,4,0,n,265,265,70,0
01.01.2020 5:44:29,01.01.2020 5:47:34,2,0,39,n,79,79,4,0
01.01.2020 5:42:44,01.01.2020 5:44:24,1,0,04,n,48,48,3,0
01.01.2020 5:21:30,01.01.2020 5:29:12,2,0,78,n,114,113,6,5,0
01.01.2020 5:21:10,01.01.2020 5:22:39,1,0,33,n,146,146,0,0
01.01.2020 5:13:40,01.01.2020 5:31:14,2,2,41,n,246,249,13,0
01.01.2020 5:21:37,01.01.2020 5:27:07,3,0,72,n,68,113,5,5,0
01.01.2020 5:34:49,01.01.2020 5:57:39,2,2,93,n,142,164,16,5,0
01.01.2020 5:48:57,01.01.2020 5:52:37,1,0,2,n,141,141,4,0
01.01.2020 5:38:08,01.01.2020 5:39:21,1,0,09,n,237,237,3,0
01.01.2020 5:26:07,01.01.2020 5:31:29,1,0,91,n,234,114,5,5,0
01.01.2020 5:49:08,01.01.2020 5:52:54,1,0,02,n,164,164,4,0
01.01.2020 5:44:31,01.01.2020 5:45:05,1,0,06,n,68,90,2,5,0
01.01.2020 5:46:56,01.01.2020 5:59:16,1,2,33,n,87,249,10,5,0
01.01.2020 5:18:30,01.01.2020 5:21:27,1,0,25,n,107,164,4,0
01.01.2020 4:26:25,01.01.2020 4:27:57,2,0,17,n,162,163,3,0
01.01.2020 5:30:31,01.01.2020 5:30:46,1,0,01,n,239,239,2,5,0
01.01.2020 5:18:58,01.01.2020 5:30:53,2,0,81,n,107,234,8,5,0
01.01.2020 5:58:01,01.01.2020 6:02:39,1,0,64,n,170,233,5,0
01.01.2020 5:10:44,01.01.2020 5:18:38,1,2,32,n,140,74,9,0
01.01.2020 5:10:30,01.01.2020 5:24:14,1,6,96,n,229,196,20,0
01.01.2020 5:28:04,01.01.2020 5:34:33,1,0,81,n,79,113,6,0
01.01.2020 5:40:30,01.01.2020 5:45:02,2,0,8,n,42,41,5,5,0
01.01.2020 5:08:13,01.01.2020 5:08:27,5,0,n,48,48,2,5,0
01.01.2020 5:26:04,01.01.2020 5:27:18,1,0,n,234,234,2,5,0
01.01.2020 5:55:09,01.01.2020 5:59:11,1,0,65,n,148,144,4,5,1,66
01.01.2020 5:01:42,01.01.2020 5:05:13,1,0,66,n,236,140,4,5,0
01.01.2020 5:48:19,01.01.2020 6:01:58,1,1,08,n,43,162,9,3,2
01.01.2020 5:35:41,01.01.2020 5:46:53,1,1,2,n,249,79,8,5,2,45
01.01.2020 5:50:28,01.01.2020 5:50:34,2,0,n,79,79,52,0
01.01.2020 5:17:45,01.01.2020 5:20:55,1,0,03,n,186,186,4,0
01.01.2020 5:30:14,01.01.2020 5:35:15,1,0,72,n,141,140,5,0
01.01.2020 5:14:15,01.01.2020 5:26:39,1,2,25,n,231,107,10,5,0
01.01.2020 6:00:29,01.01.2020 6:03:50,1,0,55,n,246,246,4,5,0
01.01.2020 5:06:51,01.01.2020 5:21:09,1,3,93,n,148,141,13,5,0
01.01.2020 5:40:30,01.01.2020 5:58:36,1,0,78,n,161,164,11,0
01.01.2020 5:16:32,01.01.2020 5:28:26,1,1,26,n,249,79,8,5,0
01.01.2020 5:04:53,01.01.2020 5:26:25,1,11,35,n,107,14,32,5,0
01.01.2020 5:28:41,01.01.2020 5:34:01,1,0,88,n,7,7,5,5,0
01.01.2020 5:18:21,01.01.2020 5:18:59,1,0,16,n,148,148,2,5,0
01.01.2020 5:14:34,01.01.2020 5:15:49,1,0,08,n,161,161,3,0
01.01.2020 5:24:37,01.01.2020 5:31:19,1,1,26,n,79,45,6,5,0
01.01.2020 5:41:11,01.01.2020 5:48:14,1,0,3,n,48,48,-6,0
01.01.2020 5:41:11,01.01.2020 5:48:14,1,0,3,n,48,48,6,0
01.01.2020 5:00:46,01.01.2020 5:19:33,1,4,n,161,263,16,0
01.01.2020 5:34:05,01.01.2020 5:51:26,1,9,n,161,138,26,7,18
01.01.2020 5:17:43,01.01.2020 5:21:58,3,0,68,n,158,125,4,5,0
01.01.2020 5:15:23,01.01.2020 5:18:06,1,0,4,n,234,234,4,0
01.01.2020 5:45:27,01.01.2020 5:52:00,1,0,6,n,233,162,6,0
01.01.2020 5:59:37,01.01.2020 6:05:42,1,1,1,n,79,4,6,1,96
01.01.2020 6:50:04,01.01.2020 6:53:55,1,0,09,n,233,233,4,0
01.01.2020 5:44:55,01.01.2020 5:51:10,2,1,85,n,48,238,7,5,0
01.01.2020 6:53:34,01.01.2020 6:54:17,4,0,n,129,129,0,0
01.01.2020 6:09:09,01.01.2020 6:15:19,1,0,52,n,263,262,5,0
01.01.2020 6:08:41,01.01.2020 6:08:47,1,0,n,140,140,52,0
01.01.2020 5:59:08,01.01.2020 6:00:41,6,0,16,n,137,137,3,0
01.01.2020 6:48:39,01.01.2020 6:49:33,1,0,n,107,107,2,5,0
